product_name,current_category,layer_1_score,layer_1_category,layer_2_score,layer_2_category,web_sources,web_agree_count,web_consensus_category,web_consensus_time,layer_3_score,layer_3_category,conflict_level,final_category,final_confidence,confidence_band,mapping_status,reason,revenue_weight
GOLD DROP SUNFLOWER OIL 1Lt pouch,<NA>,100,Home Care,85,Breakfast,synthetic: brand consensus; query: GOLD DROP SUNFLOWER OIL 1Lt pouch brand category India,0,,,75,Breakfast,low,Breakfast,90.71,HIGH,AUTO-MAP,"Keyword→Home Care:100, Web→Breakfast:85, Brand/Price→Breakfast:75",0.1122
SUNFLOWER OIL 1Lt COLD PRESSED JIVIKA ORGANICS,<NA>,100,Home Care,85,Dairy,synthetic: brand consensus; query: SUNFLOWER OIL 1Lt COLD PRESSED JIVIKA ORGANICS brand category India,0,,,75,Dairy,low,Dairy,90.71,HIGH,AUTO-MAP,"Keyword→Home Care:100, Web→Dairy:85, Brand/Price→Dairy:75",0.0435
CURD POUCH 400g MILKY MIST,<NA>,90,Dairy,85,Beverages,synthetic: brand consensus; query: CURD POUCH 400g MILKY MIST brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.1527
SET CURD 1kg BUCKET MILKY MIST,<NA>,90,Dairy,85,Snacks,synthetic: brand consensus; query: SET CURD 1kg BUCKET MILKY MIST brand category India,0,,,75,Snacks,low,Snacks,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Snacks:85, Brand/Price→Snacks:75",0.095
CURD 135g POUCH MILKY MIST,<NA>,90,Dairy,85,Beverages,synthetic: brand consensus; query: CURD 135g POUCH MILKY MIST brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.069
FREEDOM SUNFLOWER OIL PET 1LT,<NA>,90,Home Care,85,Breakfast,synthetic: brand consensus; query: FREEDOM SUNFLOWER OIL PET 1LT brand category India,0,,,75,Breakfast,low,Breakfast,87.79,HIGH,AUTO-MAP,"Keyword→Home Care:90, Web→Breakfast:85, Brand/Price→Breakfast:75",0.0476
FREEDOM SUNFLOWER OIL PET 2LT,<NA>,90,Home Care,85,Dairy,synthetic: brand consensus; query: FREEDOM SUNFLOWER OIL PET 2LT brand category India,0,,,75,Dairy,low,Dairy,87.79,HIGH,AUTO-MAP,"Keyword→Home Care:90, Web→Dairy:85, Brand/Price→Dairy:75",0.0448
CHEESE SLICE 100G MILKY MIST,<NA>,90,Dairy,85,Beverages,synthetic: brand consensus; query: CHEESE SLICE 100G MILKY MIST brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0341
CHEESE SLICES 200g MILKYMIST,<NA>,90,Dairy,85,Snacks,synthetic: brand consensus; query: CHEESE SLICES 200g MILKYMIST brand category India,0,,,75,Snacks,low,Snacks,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Snacks:85, Brand/Price→Snacks:75",0.0335
SPICE BUTTER MILK 200ml UHT AKSHAYA KALPA,<NA>,90,Dairy,85,Beverages,synthetic: brand consensus; query: SPICE BUTTER MILK 200ml UHT AKSHAYA KALPA brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0332
SUNFLOWER OIL 1LT COLD PRESSED MESMARA,<NA>,90,Home Care,85,Personal Care,synthetic: brand consensus; query: SUNFLOWER OIL 1LT COLD PRESSED MESMARA brand category India,0,,,75,Personal Care,low,Personal Care,87.79,HIGH,AUTO-MAP,"Keyword→Home Care:90, Web→Personal Care:85, Brand/Price→Personal Care:75",0.0321
PLAIN BUTTER MILK 200ML UHT AKSHAYA KALPA,<NA>,90,Dairy,85,Beverages,synthetic: brand consensus; query: PLAIN BUTTER MILK 200ML UHT AKSHAYA KALPA brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0249
COOKING BUTTER 100G MILKY MIST,<NA>,90,Dairy,85,Beverages,synthetic: brand consensus; query: COOKING BUTTER 100G MILKY MIST brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0242
COW GHEE 200ml JAR AMUL HIGH AROMA,<NA>,90,Home Care,85,Breakfast,synthetic: brand consensus; query: COW GHEE 200ml JAR AMUL HIGH AROMA brand category India,0,,,75,Breakfast,low,Breakfast,87.79,HIGH,AUTO-MAP,"Keyword→Home Care:90, Web→Breakfast:85, Brand/Price→Breakfast:75",0.0214
MUSTARD OIL 1Lt. MESMARA,<NA>,90,Home Care,85,Personal Care,synthetic: brand consensus; query: MUSTARD OIL 1Lt. MESMARA brand category India,0,,,75,Personal Care,low,Personal Care,87.79,HIGH,AUTO-MAP,"Keyword→Home Care:90, Web→Personal Care:85, Brand/Price→Personal Care:75",0.0189
TABLE BUTTER CHIPLITE MILKY MIST,<NA>,90,Dairy,85,Beverages,synthetic: brand consensus; query: TABLE BUTTER CHIPLITE MILKY MIST brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0175
MOZZARELLA CHEESE 200g MILKY MIST,<NA>,90,Dairy,85,Breakfast,synthetic: brand consensus; query: MOZZARELLA CHEESE 200g MILKY MIST brand category India,0,,,75,Breakfast,low,Breakfast,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Breakfast:85, Brand/Price→Breakfast:75",0.0172
SET CURD 400g MILKY MIST,<NA>,90,Dairy,85,Beverages,synthetic: brand consensus; query: SET CURD 400g MILKY MIST brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0171
BUTTER MILK PLAIN 200ml POUCH AKSHAYA KALPA,<NA>,90,Dairy,85,Beverages,synthetic: brand consensus; query: BUTTER MILK PLAIN 200ml POUCH AKSHAYA KALPA brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0139
BUTTER MILK SPICED 200ml POUCH AKSHAYA KALPA,<NA>,90,Dairy,85,Beverages,synthetic: brand consensus; query: BUTTER MILK SPICED 200ml POUCH AKSHAYA KALPA brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0131
COOKING BUTTER UNSALTED 200g MILKY MIST,<NA>,90,Dairy,85,Snacks,synthetic: brand consensus; query: COOKING BUTTER UNSALTED 200g MILKY MIST brand category India,0,,,75,Snacks,low,Snacks,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Snacks:85, Brand/Price→Snacks:75",0.0131
UHT BUTTER MILK 180ML MILKY MIST,<NA>,90,Dairy,85,Beverages,synthetic: brand consensus; query: UHT BUTTER MILK 180ML MILKY MIST brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0128
VIRGIN COCONUT OIL 200ml AKSHAYA KALPA,fruits,90,Home Care,85,Breakfast,synthetic: brand consensus; query: VIRGIN COCONUT OIL 200ml AKSHAYA KALPA brand category India,0,,,75,Breakfast,low,Breakfast,87.79,HIGH,AUTO-MAP,"Keyword→Home Care:90, Web→Breakfast:85, Brand/Price→Breakfast:75",0.0114
ALMONDO BAR 35g CHOCOLATE AMUL,<NA>,90,Confectionery,85,Beverages,synthetic: brand consensus; query: ALMONDO BAR 35g CHOCOLATE AMUL brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Confectionery:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0105
MASTI BUTTER MILK 200ml AMUL tetra,<NA>,90,Dairy,85,Beverages,synthetic: brand consensus; query: MASTI BUTTER MILK 200ml AMUL tetra brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0103
COLD PRESSED SUN DRIED COCONUT OIL 1LT MESMARA,fruits,90,Home Care,85,Personal Care,synthetic: brand consensus; query: COLD PRESSED SUN DRIED COCONUT OIL 1LT MESMARA brand category India,0,,,75,Personal Care,low,Personal Care,87.79,HIGH,AUTO-MAP,"Keyword→Home Care:90, Web→Personal Care:85, Brand/Price→Personal Care:75",0.0094
SET CURD 200g MILKY MIST,<NA>,90,Dairy,85,Beverages,synthetic: brand consensus; query: SET CURD 200g MILKY MIST brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0086
TABLE BUTTER SALTED 200G MILKY MIST,<NA>,90,Dairy,85,Snacks,synthetic: brand consensus; query: TABLE BUTTER SALTED 200G MILKY MIST brand category India,0,,,75,Snacks,low,Snacks,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Snacks:85, Brand/Price→Snacks:75",0.0075
TABLE BUTTER SALTED 100g MILKY MIST,<NA>,90,Dairy,85,Beverages,synthetic: brand consensus; query: TABLE BUTTER SALTED 100g MILKY MIST brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0068
COW GHEE 500ml PET JAR MILKYMIST,<NA>,90,Home Care,85,Dairy,synthetic: brand consensus; query: COW GHEE 500ml PET JAR MILKYMIST brand category India,0,,,75,Dairy,low,Dairy,87.79,HIGH,AUTO-MAP,"Keyword→Home Care:90, Web→Dairy:85, Brand/Price→Dairy:75",0.0067
GHEE 200ML PET JAR MILKY MIST,<NA>,90,Home Care,85,Breakfast,synthetic: brand consensus; query: GHEE 200ML PET JAR MILKY MIST brand category India,0,,,75,Breakfast,low,Breakfast,87.79,HIGH,AUTO-MAP,"Keyword→Home Care:90, Web→Breakfast:85, Brand/Price→Breakfast:75",0.0065
CHEESE BLOCK 200G MILKY MIST,<NA>,90,Dairy,85,Snacks,synthetic: brand consensus; query: CHEESE BLOCK 200G MILKY MIST brand category India,0,,,75,Snacks,low,Snacks,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Snacks:85, Brand/Price→Snacks:75",0.0062
CHEESE CUBES 120g MILKY MIST,<NA>,90,Dairy,85,Snacks,synthetic: brand consensus; query: CHEESE CUBES 120g MILKY MIST brand category India,0,,,75,Snacks,low,Snacks,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Snacks:85, Brand/Price→Snacks:75",0.0054
CHEDDAR CHEESE 200g MILKY MIST,<NA>,90,Dairy,85,Snacks,synthetic: brand consensus; query: CHEDDAR CHEESE 200g MILKY MIST brand category India,0,,,75,Snacks,low,Snacks,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Snacks:85, Brand/Price→Snacks:75",0.0035
CHEESE CUBES 200g MILKY MIST,<NA>,90,Dairy,85,Breakfast,synthetic: brand consensus; query: CHEESE CUBES 200g MILKY MIST brand category India,0,,,75,Breakfast,low,Breakfast,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Breakfast:85, Brand/Price→Breakfast:75",0.0033
MASTI BUTTER MILK 1Lt AMUL,<NA>,90,Dairy,85,Beverages,synthetic: brand consensus; query: MASTI BUTTER MILK 1Lt AMUL brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0033
CHEESE SPREAD GARLI 200g MILKY MIST,<NA>,90,Dairy,85,Snacks,synthetic: brand consensus; query: CHEESE SPREAD GARLI 200g MILKY MIST brand category India,0,,,75,Snacks,low,Snacks,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Snacks:85, Brand/Price→Snacks:75",0.0028
CHEESE SPREAD NATURAL OR PLAIN 200g MILKYMIST,<NA>,90,Dairy,85,Snacks,synthetic: brand consensus; query: CHEESE SPREAD NATURAL OR PLAIN 200g MILKYMIST brand category India,0,,,75,Snacks,low,Snacks,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Snacks:85, Brand/Price→Snacks:75",0.0014
CHEESE SPREAD PEPPER 200g MILKY MIST,vegetables,90,Dairy,85,Snacks,synthetic: brand consensus; query: CHEESE SPREAD PEPPER 200g MILKY MIST brand category India,0,,,75,Snacks,low,Snacks,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Snacks:85, Brand/Price→Snacks:75",0.0009
BUTTER MILK 170ML HERITAGE SACHET,<NA>,90,Dairy,85,Beverages,synthetic: brand consensus; query: BUTTER MILK 170ML HERITAGE SACHET brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0008
FREEDOM MUSTARD OIL 1 Lt,<NA>,90,Home Care,85,Breakfast,synthetic: brand consensus; query: FREEDOM MUSTARD OIL 1 Lt brand category India,0,,,75,Breakfast,low,Breakfast,87.79,HIGH,AUTO-MAP,"Keyword→Home Care:90, Web→Breakfast:85, Brand/Price→Breakfast:75",0.0007
COCONUT MILK YOGURT-BLUEBERRY EPIGAMIA,fruits,90,Dairy,85,Beverages,synthetic: brand consensus; query: COCONUT MILK YOGURT-BLUEBERRY EPIGAMIA brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0003
WATERMELON JUICE,juices,70,Beverages,95,Beverages,synthetic: keyword+brand consensus; query: WATERMELON JUICE category retail; query: WATERMELON JUICE grocery shelf location India,0,,,75,Beverages,none,Beverages,86.62,HIGH,AUTO-MAP,"Keyword→Beverages:70, Web→Beverages:95, Brand/Price→Beverages:75",0.0325
PANEER 500g MILKY MIST,<NA>,70,Dairy,95,Dairy,synthetic: keyword+brand consensus; query: PANEER 500g MILKY MIST category retail; query: PANEER 500g MILKY MIST grocery shelf location India,0,,,75,Dairy,none,Dairy,86.62,HIGH,AUTO-MAP,"Keyword→Dairy:70, Web→Dairy:95, Brand/Price→Dairy:75",0.0302
ANAR,fruits,0,UNKNOWN,85,Breakfast,synthetic: brand consensus; query: ANAR brand category India,0,,,75,Breakfast,none,Breakfast,85.21,HIGH,AUTO-MAP,"Web→Breakfast:85, Brand/Price→Breakfast:75",5.1124
APPLE ROYAL GALA,fruits,0,UNKNOWN,85,Dairy,synthetic: brand consensus; query: APPLE ROYAL GALA brand category India,0,,,75,Dairy,none,Dairy,85.21,HIGH,AUTO-MAP,"Web→Dairy:85, Brand/Price→Dairy:75",4.084
TOMATO LOCAL,vegetables,0,UNKNOWN,85,Beverages,synthetic: brand consensus; query: TOMATO LOCAL brand category India,0,,,75,Beverages,none,Beverages,85.21,HIGH,AUTO-MAP,"Web→Beverages:85, Brand/Price→Beverages:75",3.2104
BANGINAPALLI MANGO LOOSE KGS,fruits,0,UNKNOWN,85,Snacks,synthetic: brand consensus; query: BANGINAPALLI MANGO LOOSE KGS brand category India,0,,,75,Snacks,none,Snacks,85.21,HIGH,AUTO-MAP,"Web→Snacks:85, Brand/Price→Snacks:75",2.6394
POTATO,vegetables,0,UNKNOWN,85,Beverages,synthetic: brand consensus; query: POTATO brand category India,0,,,75,Beverages,none,Beverages,85.21,HIGH,AUTO-MAP,"Web→Beverages:85, Brand/Price→Beverages:75",1.9216
ONION,vegetables,0,UNKNOWN,85,Beverages,synthetic: brand consensus; query: ONION brand category India,0,,,75,Beverages,none,Beverages,85.21,HIGH,AUTO-MAP,"Web→Beverages:85, Brand/Price→Beverages:75",1.7466
CARROT,vegetables,0,UNKNOWN,85,Beverages,synthetic: brand consensus; query: CARROT brand category India,0,,,75,Beverages,none,Beverages,85.21,HIGH,AUTO-MAP,"Web→Beverages:85, Brand/Price→Beverages:75",1.617
KIRAN MELON,<NA>,0,UNKNOWN,85,Beverages,synthetic: brand consensus; query: KIRAN MELON brand category India,0,,,75,Beverages,none,Beverages,85.21,HIGH,AUTO-MAP,"Web→Beverages:85, Brand/Price→Beverages:75",1.5122
RIDGE GOURD,vegetables,0,UNKNOWN,85,Beverages,synthetic: brand consensus; query: RIDGE GOURD brand category India,0,,,75,Beverages,none,Beverages,85.21,HIGH,AUTO-MAP,"Web→Beverages:85, Brand/Price→Beverages:75",1.4514
BABY ORANGE,fruits,0,UNKNOWN,85,Breakfast,synthetic: brand consensus; query: BABY ORANGE brand category India,0,,,75,Breakfast,none,Breakfast,85.21,HIGH,AUTO-MAP,"Web→Breakfast:85, Brand/Price→Breakfast:75",1.4092
LADIES FINGER,<NA>,0,UNKNOWN,85,Beverages,synthetic: brand consensus; query: LADIES FINGER brand category India,0,,,75,Beverages,none,Beverages,85.21,HIGH,AUTO-MAP,"Web→Beverages:85, Brand/Price→Beverages:75",1.2159
USA FUJI APPLE,fruits,0,UNKNOWN,85,Dairy,synthetic: brand consensus; query: USA FUJI APPLE brand category India,0,,,75,Dairy,none,Dairy,85.21,HIGH,AUTO-MAP,"Web→Dairy:85, Brand/Price→Dairy:75",1.2042
LEMON,fruits,0,UNKNOWN,85,Breakfast,synthetic: brand consensus; query: LEMON brand category India,0,,,75,Breakfast,none,Breakfast,85.21,HIGH,AUTO-MAP,"Web→Breakfast:85, Brand/Price→Breakfast:75",1.1143
BEAUTY PEARS,<NA>,0,UNKNOWN,85,Dairy,synthetic: brand consensus; query: BEAUTY PEARS brand category India,0,,,75,Dairy,none,Dairy,85.21,HIGH,AUTO-MAP,"Web→Dairy:85, Brand/Price→Dairy:75",1.0777
Black Chilly,<NA>,0,UNKNOWN,85,Beverages,synthetic: brand consensus; query: Black Chilly brand category India,0,,,75,Beverages,none,Beverages,85.21,HIGH,AUTO-MAP,"Web→Beverages:85, Brand/Price→Beverages:75",0.9996
BUSH BEANS,vegetables,0,UNKNOWN,85,Snacks,synthetic: brand consensus; query: BUSH BEANS brand category India,0,,,75,Snacks,none,Snacks,85.21,HIGH,AUTO-MAP,"Web→Snacks:85, Brand/Price→Snacks:75",0.969
BOTTLE GOURD,vegetables,0,UNKNOWN,85,Beverages,synthetic: brand consensus; query: BOTTLE GOURD brand category India,0,,,75,Beverages,none,Beverages,85.21,HIGH,AUTO-MAP,"Web→Beverages:85, Brand/Price→Beverages:75",0.9553
PINK LADY APPLE,fruits,0,UNKNOWN,85,Dairy,synthetic: brand consensus; query: PINK LADY APPLE brand category India,0,,,75,Dairy,none,Dairy,85.21,HIGH,AUTO-MAP,"Web→Dairy:85, Brand/Price→Dairy:75",0.9322
BLUE BERRY,fruits,0,UNKNOWN,85,Dairy,synthetic: brand consensus; query: BLUE BERRY brand category India,0,,,75,Dairy,none,Dairy,85.21,HIGH,AUTO-MAP,"Web→Dairy:85, Brand/Price→Dairy:75",0.9052
Banana Yalakki,fruits,0,UNKNOWN,85,Snacks,synthetic: brand consensus; query: Banana Yalakki brand category India,0,,,75,Snacks,none,Snacks,85.21,HIGH,AUTO-MAP,"Web→Snacks:85, Brand/Price→Snacks:75",0.8857
PAPPAYA,<NA>,0,UNKNOWN,85,Beverages,synthetic: brand consensus; query: PAPPAYA brand category India,0,,,75,Beverages,none,Beverages,85.21,HIGH,AUTO-MAP,"Web→Beverages:85, Brand/Price→Beverages:75",0.8788
CUCUMBER,vegetables,0,UNKNOWN,85,Beverages,synthetic: brand consensus; query: CUCUMBER brand category India,0,,,75,Beverages,none,Beverages,85.21,HIGH,AUTO-MAP,"Web→Beverages:85, Brand/Price→Beverages:75",0.8611
GUAVA HYBRID BIG ANAND,fruits,0,UNKNOWN,85,Snacks,synthetic: brand consensus; query: GUAVA HYBRID BIG ANAND brand category India,0,,,75,Snacks,none,Snacks,85.21,HIGH,AUTO-MAP,"Web→Snacks:85, Brand/Price→Snacks:75",0.8225
RUBUSTA BANANA,fruits,0,UNKNOWN,85,Beverages,synthetic: brand consensus; query: RUBUSTA BANANA brand category India,0,,,75,Beverages,none,Beverages,85.21,HIGH,AUTO-MAP,"Web→Beverages:85, Brand/Price→Beverages:75",0.8037
CUSTARD APPLE ANAND,fruits,0,UNKNOWN,85,Breakfast,synthetic: brand consensus; query: CUSTARD APPLE ANAND brand category India,0,,,75,Breakfast,none,Breakfast,85.21,HIGH,AUTO-MAP,"Web→Breakfast:85, Brand/Price→Breakfast:75",0.7685
HIMAYATH MANGO KG LOOSE,fruits,0,UNKNOWN,85,Breakfast,synthetic: brand consensus; query: HIMAYATH MANGO KG LOOSE brand category India,0,,,75,Breakfast,none,Breakfast,85.21,HIGH,AUTO-MAP,"Web→Breakfast:85, Brand/Price→Breakfast:75",0.7631
CORIANDER,vegetables,0,UNKNOWN,85,Beverages,synthetic: brand consensus; query: CORIANDER brand category India,0,,,75,Beverages,none,Beverages,85.21,HIGH,AUTO-MAP,"Web→Beverages:85, Brand/Price→Beverages:75",0.7428
GARLIC,vegetables,0,UNKNOWN,85,Breakfast,synthetic: brand consensus; query: GARLIC brand category India,0,,,75,Breakfast,none,Breakfast,85.21,HIGH,AUTO-MAP,"Web→Breakfast:85, Brand/Price→Breakfast:75",0.7166
