product_name,current_category,layer_1_score,layer_1_category,layer_2_score,layer_2_category,web_sources,web_agree_count,web_consensus_category,web_consensus_time,layer_3_score,layer_3_category,conflict_level,final_category,final_confidence,confidence_band,mapping_status,reason,revenue_weight,_pnorm
CURD POUCH 400g MILKY MIST,,90,Dairy,85,Beverages,synthetic: brand consensus; query: CURD POUCH 400g MILKY MIST brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.1527,curd pouch 400g milky mist
SET CURD 1kg BUCKET MILKY MIST,,90,Dairy,85,Snacks,synthetic: brand consensus; query: SET CURD 1kg BUCKET MILKY MIST brand category India,0,,,75,Snacks,low,Snacks,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Snacks:85, Brand/Price→Snacks:75",0.095,set curd 1kg bucket milky mist
CURD 135g POUCH MILKY MIST,,90,Dairy,85,Beverages,synthetic: brand consensus; query: CURD 135g POUCH MILKY MIST brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.069,curd 135g pouch milky mist
VELLANKI MULTI SEEDS CHIKI 250g,,90,Snacks,85,Breakfast,synthetic: brand consensus; query: VELLANKI MULTI SEEDS CHIKI 250g brand category India,0,,,75,Breakfast,low,Breakfast,87.79,HIGH,AUTO-MAP,"Keyword→Snacks:90, Web→Breakfast:85, Brand/Price→Breakfast:75",0.0507,vellanki multi seeds chiki 250g
JACK FRUIT SEEDS ANAND,fruits,90,Snacks,85,Beverages,synthetic: brand consensus; query: JACK FRUIT SEEDS ANAND brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Snacks:90, Web→Beverages:85, Brand/Price→Beverages:75",0.048,jack fruit seeds anand
FREEDOM SUNFLOWER OIL PET 1LT,,90,Home Care,85,Breakfast,synthetic: brand consensus; query: FREEDOM SUNFLOWER OIL PET 1LT brand category India,0,,,75,Breakfast,low,Breakfast,87.79,HIGH,AUTO-MAP,"Keyword→Home Care:90, Web→Breakfast:85, Brand/Price→Breakfast:75",0.0476,freedom sunflower oil pet 1lt
FREEDOM SUNFLOWER OIL PET 2LT,,90,Home Care,85,Dairy,synthetic: brand consensus; query: FREEDOM SUNFLOWER OIL PET 2LT brand category India,0,,,75,Dairy,low,Dairy,87.79,HIGH,AUTO-MAP,"Keyword→Home Care:90, Web→Dairy:85, Brand/Price→Dairy:75",0.0448,freedom sunflower oil pet 2lt
CHEESE SLICE 100G MILKY MIST,,90,Dairy,85,Beverages,synthetic: brand consensus; query: CHEESE SLICE 100G MILKY MIST brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0341,cheese slice 100g milky mist
CHEESE SLICES 200g MILKYMIST,,90,Dairy,85,Snacks,synthetic: brand consensus; query: CHEESE SLICES 200g MILKYMIST brand category India,0,,,75,Snacks,low,Snacks,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Snacks:85, Brand/Price→Snacks:75",0.0335,cheese slices 200g milkymist
SPICE BUTTER MILK 200ml UHT AKSHAYA KALPA,,90,Dairy,85,Beverages,synthetic: brand consensus; query: SPICE BUTTER MILK 200ml UHT AKSHAYA KALPA brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0332,spice butter milk 200ml uht akshaya kalpa
SUNFLOWER OIL 1LT COLD PRESSED MESMARA,,90,Home Care,85,Personal Care,synthetic: brand consensus; query: SUNFLOWER OIL 1LT COLD PRESSED MESMARA brand category India,0,,,75,Personal Care,low,Personal Care,87.79,HIGH,AUTO-MAP,"Keyword→Home Care:90, Web→Personal Care:85, Brand/Price→Personal Care:75",0.0321,sunflower oil 1lt cold pressed mesmara
PLAIN BUTTER MILK 200ML UHT AKSHAYA KALPA,,90,Dairy,85,Beverages,synthetic: brand consensus; query: PLAIN BUTTER MILK 200ML UHT AKSHAYA KALPA brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0249,plain butter milk 200ml uht akshaya kalpa
COOKING BUTTER 100G MILKY MIST,,90,Dairy,85,Beverages,synthetic: brand consensus; query: COOKING BUTTER 100G MILKY MIST brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0242,cooking butter 100g milky mist
COW GHEE 200ml JAR AMUL HIGH AROMA,,90,Home Care,85,Breakfast,synthetic: brand consensus; query: COW GHEE 200ml JAR AMUL HIGH AROMA brand category India,0,,,75,Breakfast,low,Breakfast,87.79,HIGH,AUTO-MAP,"Keyword→Home Care:90, Web→Breakfast:85, Brand/Price→Breakfast:75",0.0214,cow ghee 200ml jar amul high aroma
MUSTARD OIL 1Lt. MESMARA,,90,Home Care,85,Personal Care,synthetic: brand consensus; query: MUSTARD OIL 1Lt. MESMARA brand category India,0,,,75,Personal Care,low,Personal Care,87.79,HIGH,AUTO-MAP,"Keyword→Home Care:90, Web→Personal Care:85, Brand/Price→Personal Care:75",0.0189,mustard oil 1lt. mesmara
TABLE BUTTER CHIPLITE MILKY MIST,,90,Dairy,85,Beverages,synthetic: brand consensus; query: TABLE BUTTER CHIPLITE MILKY MIST brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0175,table butter chiplite milky mist
MOZZARELLA CHEESE 200g MILKY MIST,,90,Dairy,85,Breakfast,synthetic: brand consensus; query: MOZZARELLA CHEESE 200g MILKY MIST brand category India,0,,,75,Breakfast,low,Breakfast,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Breakfast:85, Brand/Price→Breakfast:75",0.0172,mozzarella cheese 200g milky mist
SET CURD 400g MILKY MIST,,90,Dairy,85,Beverages,synthetic: brand consensus; query: SET CURD 400g MILKY MIST brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0171,set curd 400g milky mist
BUTTER MILK PLAIN 200ml POUCH AKSHAYA KALPA,,90,Dairy,85,Beverages,synthetic: brand consensus; query: BUTTER MILK PLAIN 200ml POUCH AKSHAYA KALPA brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0139,butter milk plain 200ml pouch akshaya kalpa
BUTTER MILK SPICED 200ml POUCH AKSHAYA KALPA,,90,Dairy,85,Beverages,synthetic: brand consensus; query: BUTTER MILK SPICED 200ml POUCH AKSHAYA KALPA brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0131,butter milk spiced 200ml pouch akshaya kalpa
COOKING BUTTER UNSALTED 200g MILKY MIST,,90,Dairy,85,Snacks,synthetic: brand consensus; query: COOKING BUTTER UNSALTED 200g MILKY MIST brand category India,0,,,75,Snacks,low,Snacks,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Snacks:85, Brand/Price→Snacks:75",0.0131,cooking butter unsalted 200g milky mist
UHT BUTTER MILK 180ML MILKY MIST,,90,Dairy,85,Beverages,synthetic: brand consensus; query: UHT BUTTER MILK 180ML MILKY MIST brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0128,uht butter milk 180ml milky mist
SABJA SEEDS KG FLYBERRY,,90,Snacks,85,Personal Care,synthetic: brand consensus; query: SABJA SEEDS KG FLYBERRY brand category India,0,,,75,Personal Care,low,Personal Care,87.79,HIGH,AUTO-MAP,"Keyword→Snacks:90, Web→Personal Care:85, Brand/Price→Personal Care:75",0.0125,sabja seeds kg flyberry
VIRGIN COCONUT OIL 200ml AKSHAYA KALPA,fruits,90,Home Care,85,Breakfast,synthetic: brand consensus; query: VIRGIN COCONUT OIL 200ml AKSHAYA KALPA brand category India,0,,,75,Breakfast,low,Breakfast,87.79,HIGH,AUTO-MAP,"Keyword→Home Care:90, Web→Breakfast:85, Brand/Price→Breakfast:75",0.0114,virgin coconut oil 200ml akshaya kalpa
FLAX SEEDS KGS FLYBERRY,,90,Snacks,85,Breakfast,synthetic: brand consensus; query: FLAX SEEDS KGS FLYBERRY brand category India,0,,,75,Breakfast,low,Breakfast,87.79,HIGH,AUTO-MAP,"Keyword→Snacks:90, Web→Breakfast:85, Brand/Price→Breakfast:75",0.0111,flax seeds kgs flyberry
ALMONDO BAR 35g CHOCOLATE AMUL,,90,Confectionery,85,Beverages,synthetic: brand consensus; query: ALMONDO BAR 35g CHOCOLATE AMUL brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Confectionery:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0105,almondo bar 35g chocolate amul
MASTI BUTTER MILK 200ml AMUL tetra,,90,Dairy,85,Beverages,synthetic: brand consensus; query: MASTI BUTTER MILK 200ml AMUL tetra brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0103,masti butter milk 200ml amul tetra
COLD PRESSED SUN DRIED COCONUT OIL 1LT MESMARA,fruits,90,Home Care,85,Personal Care,synthetic: brand consensus; query: COLD PRESSED SUN DRIED COCONUT OIL 1LT MESMARA brand category India,0,,,75,Personal Care,low,Personal Care,87.79,HIGH,AUTO-MAP,"Keyword→Home Care:90, Web→Personal Care:85, Brand/Price→Personal Care:75",0.0094,cold pressed sun dried coconut oil 1lt mesmara
SET CURD 200g MILKY MIST,,90,Dairy,85,Beverages,synthetic: brand consensus; query: SET CURD 200g MILKY MIST brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0086,set curd 200g milky mist
TABLE BUTTER SALTED 200G MILKY MIST,,90,Dairy,85,Snacks,synthetic: brand consensus; query: TABLE BUTTER SALTED 200G MILKY MIST brand category India,0,,,75,Snacks,low,Snacks,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Snacks:85, Brand/Price→Snacks:75",0.0075,table butter salted 200g milky mist
TABLE BUTTER SALTED 100g MILKY MIST,,90,Dairy,85,Beverages,synthetic: brand consensus; query: TABLE BUTTER SALTED 100g MILKY MIST brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0068,table butter salted 100g milky mist
COW GHEE 500ml PET JAR MILKYMIST,,90,Home Care,85,Dairy,synthetic: brand consensus; query: COW GHEE 500ml PET JAR MILKYMIST brand category India,0,,,75,Dairy,low,Dairy,87.79,HIGH,AUTO-MAP,"Keyword→Home Care:90, Web→Dairy:85, Brand/Price→Dairy:75",0.0067,cow ghee 500ml pet jar milkymist
GHEE 200ML PET JAR MILKY MIST,,90,Home Care,85,Breakfast,synthetic: brand consensus; query: GHEE 200ML PET JAR MILKY MIST brand category India,0,,,75,Breakfast,low,Breakfast,87.79,HIGH,AUTO-MAP,"Keyword→Home Care:90, Web→Breakfast:85, Brand/Price→Breakfast:75",0.0065,ghee 200ml pet jar milky mist
CHEESE BLOCK 200G MILKY MIST,,90,Dairy,85,Snacks,synthetic: brand consensus; query: CHEESE BLOCK 200G MILKY MIST brand category India,0,,,75,Snacks,low,Snacks,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Snacks:85, Brand/Price→Snacks:75",0.0062,cheese block 200g milky mist
CHEESE CUBES 120g MILKY MIST,,90,Dairy,85,Snacks,synthetic: brand consensus; query: CHEESE CUBES 120g MILKY MIST brand category India,0,,,75,Snacks,low,Snacks,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Snacks:85, Brand/Price→Snacks:75",0.0054,cheese cubes 120g milky mist
POMEGRANATE SEEDS,fruits,90,Snacks,85,Beverages,synthetic: brand consensus; query: POMEGRANATE SEEDS brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Snacks:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0043,pomegranate seeds
CHEDDAR CHEESE 200g MILKY MIST,,90,Dairy,85,Snacks,synthetic: brand consensus; query: CHEDDAR CHEESE 200g MILKY MIST brand category India,0,,,75,Snacks,low,Snacks,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Snacks:85, Brand/Price→Snacks:75",0.0035,cheddar cheese 200g milky mist
CHEESE CUBES 200g MILKY MIST,,90,Dairy,85,Breakfast,synthetic: brand consensus; query: CHEESE CUBES 200g MILKY MIST brand category India,0,,,75,Breakfast,low,Breakfast,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Breakfast:85, Brand/Price→Breakfast:75",0.0033,cheese cubes 200g milky mist
MASTI BUTTER MILK 1Lt AMUL,,90,Dairy,85,Beverages,synthetic: brand consensus; query: MASTI BUTTER MILK 1Lt AMUL brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0033,masti butter milk 1lt amul
CHEESE SPREAD GARLI 200g MILKY MIST,,90,Dairy,85,Snacks,synthetic: brand consensus; query: CHEESE SPREAD GARLI 200g MILKY MIST brand category India,0,,,75,Snacks,low,Snacks,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Snacks:85, Brand/Price→Snacks:75",0.0028,cheese spread garli 200g milky mist
CHEESE SPREAD NATURAL OR PLAIN 200g MILKYMIST,,90,Dairy,85,Snacks,synthetic: brand consensus; query: CHEESE SPREAD NATURAL OR PLAIN 200g MILKYMIST brand category India,0,,,75,Snacks,low,Snacks,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Snacks:85, Brand/Price→Snacks:75",0.0014,cheese spread natural or plain 200g milkymist
CHEESE SPREAD PEPPER 200g MILKY MIST,vegetables,90,Dairy,85,Snacks,synthetic: brand consensus; query: CHEESE SPREAD PEPPER 200g MILKY MIST brand category India,0,,,75,Snacks,low,Snacks,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Snacks:85, Brand/Price→Snacks:75",0.0009,cheese spread pepper 200g milky mist
BUTTER MILK 170ML HERITAGE SACHET,,90,Dairy,85,Beverages,synthetic: brand consensus; query: BUTTER MILK 170ML HERITAGE SACHET brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0008,butter milk 170ml heritage sachet
FREEDOM MUSTARD OIL 1 Lt,,90,Home Care,85,Breakfast,synthetic: brand consensus; query: FREEDOM MUSTARD OIL 1 Lt brand category India,0,,,75,Breakfast,low,Breakfast,87.79,HIGH,AUTO-MAP,"Keyword→Home Care:90, Web→Breakfast:85, Brand/Price→Breakfast:75",0.0007,freedom mustard oil 1 lt
POPU SEEDS LOOSE,,90,Snacks,85,Beverages,synthetic: brand consensus; query: POPU SEEDS LOOSE brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Snacks:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0004,popu seeds loose
COCONUT MILK YOGURT-BLUEBERRY EPIGAMIA,fruits,90,Dairy,85,Beverages,synthetic: brand consensus; query: COCONUT MILK YOGURT-BLUEBERRY EPIGAMIA brand category India,0,,,75,Beverages,low,Beverages,87.79,HIGH,AUTO-MAP,"Keyword→Dairy:90, Web→Beverages:85, Brand/Price→Beverages:75",0.0003,coconut milk yogurt-blueberry epigamia
QUINOA SEEDS KGS FLYBERRY,,90,Snacks,85,Dairy,synthetic: brand consensus; query: QUINOA SEEDS KGS FLYBERRY brand category India,0,,,75,Dairy,low,Dairy,87.79,HIGH,AUTO-MAP,"Keyword→Snacks:90, Web→Dairy:85, Brand/Price→Dairy:75",0.0002,quinoa seeds kgs flyberry
WATERMELON JUICE,juices,70,Beverages,95,Beverages,synthetic: keyword+brand consensus; query: WATERMELON JUICE category retail; query: WATERMELON JUICE grocery shelf location India,0,,,75,Beverages,none,Beverages,86.62,HIGH,AUTO-MAP,"Keyword→Beverages:70, Web→Beverages:95, Brand/Price→Beverages:75",0.0325,watermelon juice
PANEER 500g MILKY MIST,,70,Dairy,95,Dairy,synthetic: keyword+brand consensus; query: PANEER 500g MILKY MIST category retail; query: PANEER 500g MILKY MIST grocery shelf location India,0,,,75,Dairy,none,Dairy,86.62,HIGH,AUTO-MAP,"Keyword→Dairy:70, Web→Dairy:95, Brand/Price→Dairy:75",0.0302,paneer 500g milky mist
