product_name,final_category,final_confidence,mapping_status,layer_1_category,layer_1_score,layer_2_category,layer_2_score,layer_3_category,layer_3_score,reason,web_sources
STRAWBERRY FLAVOURED MILK 180ML HERITAGE,Beverages,73.21,AMBIGUOUS,Dairy,40,Beverages,85,Beverages,75,"Keyword→Dairy:40, Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: STRAWBERRY FLAVOURED MILK 180ML HERITAGE brand category India
GREEK YOGURT ALPHONSO MANGO SMOOTHIE 180ml EPIGAMIA,Beverages,73.21,AMBIGUOUS,Dairy,40,Beverages,85,Beverages,75,"Keyword→Dairy:40, Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: GREEK YOGURT ALPHONSO MANGO SMOOTHIE 180ml EPIGAMIA brand category India
MILK SHAKE STRAWBERRY 180ML HERITAGE,Beverages,73.21,AMBIGUOUS,Dairy,40,Beverages,85,Beverages,75,"Keyword→Dairy:40, Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: MILK SHAKE STRAWBERRY 180ML HERITAGE brand category India
CRUNCHY BANANA CHIPS 65g FLYBERRY,Beverages,73.21,AMBIGUOUS,Snacks,40,Beverages,85,Beverages,75,"Keyword→Snacks:40, Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: CRUNCHY BANANA CHIPS 65g FLYBERRY brand category India
COW MILK 500ML POUCH SIDS FARM,Beverages,73.21,AMBIGUOUS,Home Care,40,Beverages,85,Beverages,75,"Keyword→Home Care:40, Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: COW MILK 500ML POUCH SIDS FARM brand category India
POTATO CHIPS 200G EVR,Beverages,73.21,AMBIGUOUS,Snacks,40,Beverages,85,Beverages,75,"Keyword→Snacks:40, Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: POTATO CHIPS 200G EVR brand category India
GREEK YOGURT 85g  ALPHONSO MANGO  EPIGAMIA,Beverages,73.21,AMBIGUOUS,Dairy,40,Beverages,85,Beverages,75,"Keyword→Dairy:40, Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: GREEK YOGURT 85g  ALPHONSO MANGO  EPIGAMIA brand category India
WATER MELON PLATE,Beverages,72.04,AMBIGUOUS,Beverages,20,Beverages,95,Beverages,75,"Keyword→Beverages:20, Web→Beverages:95, Brand/Price→Beverages:75",synthetic: keyword+brand consensus; query: WATER MELON PLATE category retail; query: WATER MELON PLATE grocery shelf location India
ORANGE JUICE,Snacks,73.21,AMBIGUOUS,Beverages,40,Snacks,85,Snacks,75,"Keyword→Beverages:40, Web→Snacks:85, Brand/Price→Snacks:75",synthetic: brand consensus; query: ORANGE JUICE brand category India
WATER APPLE BOX,Beverages,72.04,AMBIGUOUS,Beverages,20,Beverages,95,Beverages,75,"Keyword→Beverages:20, Web→Beverages:95, Brand/Price→Beverages:75",synthetic: keyword+brand consensus; query: WATER APPLE BOX category retail; query: WATER APPLE BOX grocery shelf location India
LOTUS KAJOOS 13.5 G,UNKNOWN,0.0,UNCERTAIN,UNKNOWN,0,UNKNOWN,0,UNKNOWN,0,No signals,
TABLE BUTTER 500G HERITAGE,Breakfast,73.21,AMBIGUOUS,Dairy,40,Breakfast,85,Breakfast,75,"Keyword→Dairy:40, Web→Breakfast:85, Brand/Price→Breakfast:75",synthetic: brand consensus; query: TABLE BUTTER 500G HERITAGE brand category India
TABLE BUTTER 100g HERITAGE,Beverages,73.21,AMBIGUOUS,Dairy,40,Beverages,85,Beverages,75,"Keyword→Dairy:40, Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: TABLE BUTTER 100g HERITAGE brand category India
THAMALAPAKULU,UNKNOWN,0.0,UNCERTAIN,UNKNOWN,0,UNKNOWN,0,UNKNOWN,0,No signals,
FINGER CHIPS PAPAD 200G EVR,Beverages,73.21,AMBIGUOUS,Snacks,40,Beverages,85,Beverages,75,"Keyword→Snacks:40, Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: FINGER CHIPS PAPAD 200G EVR brand category India
DEHYDRATED PAPAYA  KGS FLYBERRY,UNKNOWN,0.0,UNCERTAIN,UNKNOWN,0,UNKNOWN,0,UNKNOWN,0,No signals,
EGGS 6PC JUST LAID VN POULTRY,Beverages,67.38,AMBIGUOUS,Dairy,20,Beverages,85,Beverages,75,"Keyword→Dairy:20, Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: EGGS 6PC JUST LAID VN POULTRY brand category India
EGGS 6PC UPF HEALTHY WHITE U N V,Beverages,67.38,AMBIGUOUS,Dairy,20,Beverages,85,Beverages,75,"Keyword→Dairy:20, Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: EGGS 6PC UPF HEALTHY WHITE U N V brand category India
A2 BUFFALO MILK 500ml SIDS FARM,Beverages,73.21,AMBIGUOUS,Dairy,40,Beverages,85,Beverages,75,"Keyword→Dairy:40, Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: A2 BUFFALO MILK 500ml SIDS FARM brand category India
FlyberryHazelnut,Snacks,71.08,AMBIGUOUS,Snacks,40,Snacks,85,UNKNOWN,0,"Keyword→Snacks:40, Web→Snacks:85",synthetic: keyword consensus; query: FlyberryHazelnut category retail
PURE O FRESH EGGS 6 PACK,Beverages,67.38,AMBIGUOUS,Home Care,20,Beverages,85,Beverages,75,"Keyword→Home Care:20, Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: PURE O FRESH EGGS 6 PACK brand category India
ORGANIC CURD. 1KG TUB AKSHAYAKALPA,Breakfast,73.21,AMBIGUOUS,Dairy,40,Breakfast,85,Breakfast,75,"Keyword→Dairy:40, Web→Breakfast:85, Brand/Price→Breakfast:75",synthetic: brand consensus; query: ORGANIC CURD. 1KG TUB AKSHAYAKALPA brand category India
KINELY WATER 500ml,Beverages,72.04,AMBIGUOUS,Beverages,20,Beverages,95,Beverages,75,"Keyword→Beverages:20, Web→Beverages:95, Brand/Price→Beverages:75",synthetic: keyword+brand consensus; query: KINELY WATER 500ml category retail; query: KINELY WATER 500ml grocery shelf location India
LOTUS TANGO 20G,UNKNOWN,0.0,UNCERTAIN,UNKNOWN,0,UNKNOWN,0,UNKNOWN,0,No signals,
SAFFLOWER OIL 1Lt. COLD PRESSED MESMARA,Personal Care,73.21,AMBIGUOUS,Home Care,40,Personal Care,85,Personal Care,75,"Keyword→Home Care:40, Web→Personal Care:85, Brand/Price→Personal Care:75",synthetic: brand consensus; query: SAFFLOWER OIL 1Lt. COLD PRESSED MESMARA brand category India
FRESH CREAM 200ML HERITAGE,Beverages,67.38,AMBIGUOUS,Dairy,20,Beverages,85,Beverages,75,"Keyword→Dairy:20, Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: FRESH CREAM 200ML HERITAGE brand category India
AMRUTHA - A2 ORGANIC CURD. 500g AKSHAYAKALPA,Beverages,73.21,AMBIGUOUS,Dairy,40,Beverages,85,Beverages,75,"Keyword→Dairy:40, Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: AMRUTHA - A2 ORGANIC CURD. 500g AKSHAYAKALPA brand category India
XTRA SACHET 2.3G CONTINENTAL,UNKNOWN,0.0,UNCERTAIN,UNKNOWN,0,UNKNOWN,0,UNKNOWN,0,No signals,
FlyberryCashew180,Snacks,71.08,AMBIGUOUS,Snacks,40,Snacks,85,UNKNOWN,0,"Keyword→Snacks:40, Web→Snacks:85",synthetic: keyword consensus; query: FlyberryCashew180 category retail
MILK SHAKE VANILA 180ml EPIGAMIA,Beverages,73.21,AMBIGUOUS,Dairy,40,Beverages,85,Beverages,75,"Keyword→Dairy:40, Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: MILK SHAKE VANILA 180ml EPIGAMIA brand category India
BADAM FLAVOURED MILK 180ML  PP BOTTLE HERITAGE,Beverages,73.21,AMBIGUOUS,Dairy,40,Beverages,85,Beverages,75,"Keyword→Dairy:40, Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: BADAM FLAVOURED MILK 180ML  PP BOTTLE HERITAGE brand category India
PINE APPLE JUICE,Beverages,77.88,CONFIDENT,Beverages,40,Beverages,95,Beverages,75,"Keyword→Beverages:40, Web→Beverages:95, Brand/Price→Beverages:75",synthetic: keyword+brand consensus; query: PINE APPLE JUICE category retail; query: PINE APPLE JUICE grocery shelf location India
GRAPE JUICE,Beverages,77.88,CONFIDENT,Beverages,40,Beverages,95,Beverages,75,"Keyword→Beverages:40, Web→Beverages:95, Brand/Price→Beverages:75",synthetic: keyword+brand consensus; query: GRAPE JUICE category retail; query: GRAPE JUICE grocery shelf location India
OMANI SEEDLESS 250g FLYBERRY,Snacks,77.88,CONFIDENT,Snacks,40,Snacks,95,Snacks,75,"Keyword→Snacks:40, Web→Snacks:95, Brand/Price→Snacks:75",synthetic: keyword+brand consensus; query: OMANI SEEDLESS 250g FLYBERRY category retail; query: OMANI SEEDLESS 250g FLYBERRY grocery shelf location India
KEERA JUICE,Beverages,77.88,CONFIDENT,Beverages,40,Beverages,95,Beverages,75,"Keyword→Beverages:40, Web→Beverages:95, Brand/Price→Beverages:75",synthetic: keyword+brand consensus; query: KEERA JUICE category retail; query: KEERA JUICE grocery shelf location India
DERI DATES KG FLYBERRY,Snacks,75.12,CONFIDENT,Snacks,50,Snacks,85,UNKNOWN,0,"Keyword→Snacks:50, Web→Snacks:85",synthetic: keyword consensus; query: DERI DATES KG FLYBERRY category retail
FLYBERRY MINI MEDJOUL DATES 200g BOX,Dairy,76.12,CONFIDENT,Snacks,50,Dairy,85,Dairy,75,"Keyword→Snacks:50, Web→Dairy:85, Brand/Price→Dairy:75",synthetic: brand consensus; query: FLYBERRY MINI MEDJOUL DATES 200g BOX brand category India
PAPPAYA JUICE,Beverages,77.88,CONFIDENT,Beverages,40,Beverages,95,Beverages,75,"Keyword→Beverages:40, Web→Beverages:95, Brand/Price→Beverages:75",synthetic: keyword+brand consensus; query: PAPPAYA JUICE category retail; query: PAPPAYA JUICE grocery shelf location India
ABC CANE JUICE,Beverages,77.88,CONFIDENT,Beverages,40,Beverages,95,Beverages,75,"Keyword→Beverages:40, Web→Beverages:95, Brand/Price→Beverages:75",synthetic: keyword+brand consensus; query: ABC CANE JUICE category retail; query: ABC CANE JUICE grocery shelf location India
COOKING BUTTER 100g AMUL UNSALTED,Beverages,76.12,CONFIDENT,Snacks,50,Beverages,85,Beverages,75,"Keyword→Snacks:50, Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: COOKING BUTTER 100g AMUL UNSALTED brand category India
ANJUR JUICE,Beverages,77.88,CONFIDENT,Beverages,40,Beverages,95,Beverages,75,"Keyword→Beverages:40, Web→Beverages:95, Brand/Price→Beverages:75",synthetic: keyword+brand consensus; query: ANJUR JUICE category retail; query: ANJUR JUICE grocery shelf location India
FLYBERRY DREAMY DERI DATES 400G,Personal Care,76.12,CONFIDENT,Snacks,50,Personal Care,85,Personal Care,75,"Keyword→Snacks:50, Web→Personal Care:85, Brand/Price→Personal Care:75",synthetic: brand consensus; query: FLYBERRY DREAMY DERI DATES 400G brand category India
COOKING BUTTER 500g HERITAGE,Dairy,77.88,CONFIDENT,Dairy,40,Dairy,95,Dairy,75,"Keyword→Dairy:40, Web→Dairy:95, Brand/Price→Dairy:75",synthetic: keyword+brand consensus; query: COOKING BUTTER 500g HERITAGE category retail; query: COOKING BUTTER 500g HERITAGE grocery shelf location India
AJWA DATES KGS FLYBERRY LOOSE KGS,Snacks,75.12,CONFIDENT,Snacks,50,Snacks,85,UNKNOWN,0,"Keyword→Snacks:50, Web→Snacks:85",synthetic: keyword consensus; query: AJWA DATES KGS FLYBERRY LOOSE KGS category retail
AMERI DATES KG FLYBERRY,Snacks,75.12,CONFIDENT,Snacks,50,Snacks,85,UNKNOWN,0,"Keyword→Snacks:50, Web→Snacks:85",synthetic: keyword consensus; query: AMERI DATES KG FLYBERRY category retail
FLYBERRY DREAMY DERI DATES 220g,Dairy,76.12,CONFIDENT,Snacks,50,Dairy,85,Dairy,75,"Keyword→Snacks:50, Web→Dairy:85, Brand/Price→Dairy:75",synthetic: brand consensus; query: FLYBERRY DREAMY DERI DATES 220g brand category India
BANANAJUICE,Beverages,77.88,CONFIDENT,Beverages,40,Beverages,95,Beverages,75,"Keyword→Beverages:40, Web→Beverages:95, Brand/Price→Beverages:75",synthetic: keyword+brand consensus; query: BANANAJUICE category retail; query: BANANAJUICE grocery shelf location India
AFGHANI RAISINS KGS FLYBERRY,Personal Care,76.12,CONFIDENT,Snacks,50,Personal Care,85,Personal Care,75,"Keyword→Snacks:50, Web→Personal Care:85, Brand/Price→Personal Care:75",synthetic: brand consensus; query: AFGHANI RAISINS KGS FLYBERRY brand category India
INDIAN RAISINSGOLDEN KGS FLYBERRY,Personal Care,76.12,CONFIDENT,Snacks,50,Personal Care,85,Personal Care,75,"Keyword→Snacks:50, Web→Personal Care:85, Brand/Price→Personal Care:75",synthetic: brand consensus; query: INDIAN RAISINSGOLDEN KGS FLYBERRY brand category India
Mango Juices,Beverages,77.88,CONFIDENT,Beverages,40,Beverages,95,Beverages,75,"Keyword→Beverages:40, Web→Beverages:95, Brand/Price→Beverages:75",synthetic: keyword+brand consensus; query: Mango Juices category retail; query: Mango Juices grocery shelf location India
KIMIA DATES PLASTIC BOX 400G ORIGINAL,Breakfast,76.12,CONFIDENT,Snacks,50,Breakfast,85,Breakfast,75,"Keyword→Snacks:50, Web→Breakfast:85, Brand/Price→Breakfast:75",synthetic: brand consensus; query: KIMIA DATES PLASTIC BOX 400G ORIGINAL brand category India
AMUL BUTTER 500G SALTED,Dairy,77.88,CONFIDENT,Dairy,40,Dairy,95,Dairy,75,"Keyword→Dairy:40, Web→Dairy:95, Brand/Price→Dairy:75",synthetic: keyword+brand consensus; query: AMUL BUTTER 500G SALTED category retail; query: AMUL BUTTER 500G SALTED grocery shelf location India
MOUSAMBI JUICE,Beverages,77.88,CONFIDENT,Beverages,40,Beverages,95,Beverages,75,"Keyword→Beverages:40, Web→Beverages:95, Brand/Price→Beverages:75",synthetic: keyword+brand consensus; query: MOUSAMBI JUICE category retail; query: MOUSAMBI JUICE grocery shelf location India
MEDJOUL DATES LARGE FLYBERRY loose kgs,Snacks,75.12,CONFIDENT,Snacks,50,Snacks,85,UNKNOWN,0,"Keyword→Snacks:50, Web→Snacks:85",synthetic: keyword consensus; query: MEDJOUL DATES LARGE FLYBERRY loose kgs category retail
CHICOOS SAPOTA JUICE,Beverages,77.88,CONFIDENT,Beverages,40,Beverages,95,Beverages,75,"Keyword→Beverages:40, Web→Beverages:95, Brand/Price→Beverages:75",synthetic: keyword+brand consensus; query: CHICOOS SAPOTA JUICE category retail; query: CHICOOS SAPOTA JUICE grocery shelf location India
BROWN CHANA 500g,Beverages,85.21,AUTO-MAP,UNKNOWN,0,Beverages,85,Beverages,75,"Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: BROWN CHANA 500g brand category India
CARROT,Beverages,85.21,AUTO-MAP,UNKNOWN,0,Beverages,85,Beverages,75,"Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: CARROT brand category India
BELLAM SUNNIVUNDALU 250g VELLANKI FOODS,Breakfast,85.21,AUTO-MAP,UNKNOWN,0,Breakfast,85,Breakfast,75,"Web→Breakfast:85, Brand/Price→Breakfast:75",synthetic: brand consensus; query: BELLAM SUNNIVUNDALU 250g VELLANKI FOODS brand category India
DONDAKAI,Beverages,85.21,AUTO-MAP,UNKNOWN,0,Beverages,85,Beverages,75,"Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: DONDAKAI brand category India
WHITE JOWAR 500g,Beverages,85.21,AUTO-MAP,UNKNOWN,0,Beverages,85,Beverages,75,"Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: WHITE JOWAR 500g brand category India
Raw Forest Honey 500g BT,Dairy,85.21,AUTO-MAP,UNKNOWN,0,Dairy,85,Dairy,75,"Web→Dairy:85, Brand/Price→Dairy:75",synthetic: brand consensus; query: Raw Forest Honey 500g BT brand category India
MAREDUKAYA KG LOOSE,Snacks,85.21,AUTO-MAP,UNKNOWN,0,Snacks,85,Snacks,75,"Web→Snacks:85, Brand/Price→Snacks:75",synthetic: brand consensus; query: MAREDUKAYA KG LOOSE brand category India
FRUIT BASKET 350 RAJU,Dairy,85.21,AUTO-MAP,UNKNOWN,0,Dairy,85,Dairy,75,"Web→Dairy:85, Brand/Price→Dairy:75",synthetic: brand consensus; query: FRUIT BASKET 350 RAJU brand category India
VAMPOOSA 250g VELLANKI FOODS,Snacks,85.21,AUTO-MAP,UNKNOWN,0,Snacks,85,Snacks,75,"Web→Snacks:85, Brand/Price→Snacks:75",synthetic: brand consensus; query: VAMPOOSA 250g VELLANKI FOODS brand category India
LOW GI RICE 5KG AISHWARYA,Personal Care,85.21,AUTO-MAP,UNKNOWN,0,Personal Care,85,Personal Care,75,"Web→Personal Care:85, Brand/Price→Personal Care:75",synthetic: brand consensus; query: LOW GI RICE 5KG AISHWARYA brand category India
JAGGERY MINI CUBES 500G EVR,Snacks,85.21,AUTO-MAP,UNKNOWN,0,Snacks,85,Snacks,75,"Web→Snacks:85, Brand/Price→Snacks:75",synthetic: brand consensus; query: JAGGERY MINI CUBES 500G EVR brand category India
NAVARATAN MIXTURE 250g VELLANKI FOODS,Breakfast,85.21,AUTO-MAP,UNKNOWN,0,Breakfast,85,Breakfast,75,"Web→Breakfast:85, Brand/Price→Breakfast:75",synthetic: brand consensus; query: NAVARATAN MIXTURE 250g VELLANKI FOODS brand category India
KHUS KHUS 50G,Snacks,85.21,AUTO-MAP,UNKNOWN,0,Snacks,85,Snacks,75,"Web→Snacks:85, Brand/Price→Snacks:75",synthetic: brand consensus; query: KHUS KHUS 50G brand category India
WATERMELON JUICE,Beverages,86.62,AUTO-MAP,Beverages,70,Beverages,95,Beverages,75,"Keyword→Beverages:70, Web→Beverages:95, Brand/Price→Beverages:75",synthetic: keyword+brand consensus; query: WATERMELON JUICE category retail; query: WATERMELON JUICE grocery shelf location India
pink Dragon Fruit,Breakfast,85.21,AUTO-MAP,UNKNOWN,0,Breakfast,85,Breakfast,75,"Web→Breakfast:85, Brand/Price→Breakfast:75",synthetic: brand consensus; query: pink Dragon Fruit brand category India
TATA IODISED CRYSTAL SALT 1KG,Beverages,85.21,AUTO-MAP,UNKNOWN,0,Beverages,85,Beverages,75,"Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: TATA IODISED CRYSTAL SALT 1KG brand category India
AASHIRVAAD ATTA 1KG,Beverages,85.21,AUTO-MAP,UNKNOWN,0,Beverages,85,Beverages,75,"Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: AASHIRVAAD ATTA 1KG brand category India
JANTHIKALU 250g VELLANKI FOODS,Snacks,85.21,AUTO-MAP,UNKNOWN,0,Snacks,85,Snacks,75,"Web→Snacks:85, Brand/Price→Snacks:75",synthetic: brand consensus; query: JANTHIKALU 250g VELLANKI FOODS brand category India
MILLET IDLY RAWA 500GMS SRI AHARYA,Beverages,85.21,AUTO-MAP,UNKNOWN,0,Beverages,85,Beverages,75,"Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: MILLET IDLY RAWA 500GMS SRI AHARYA brand category India
WHITE RAJMA 500g,Snacks,85.21,AUTO-MAP,UNKNOWN,0,Snacks,85,Snacks,75,"Web→Snacks:85, Brand/Price→Snacks:75",synthetic: brand consensus; query: WHITE RAJMA 500g brand category India
MOONG DAL 500G,Beverages,85.21,AUTO-MAP,UNKNOWN,0,Beverages,85,Beverages,75,"Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: MOONG DAL 500G brand category India
WHOLE WHEAT BREAD 400g MR BREADY NANDAS,Beverages,85.21,AUTO-MAP,UNKNOWN,0,Beverages,85,Beverages,75,"Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: WHOLE WHEAT BREAD 400g MR BREADY NANDAS brand category India
BIG BRINJAL BLUE,Beverages,85.21,AUTO-MAP,UNKNOWN,0,Beverages,85,Beverages,75,"Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: BIG BRINJAL BLUE brand category India
TIL 100G,Beverages,85.21,AUTO-MAP,UNKNOWN,0,Beverages,85,Beverages,75,"Web→Beverages:85, Brand/Price→Beverages:75",synthetic: brand consensus; query: TIL 100G brand category India
